Sr. No,Semester,Course Code,Course Title,Credit Hours,Grade,Grade Point,SGPA,CGPA,Warning
109,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
109,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
109,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
109,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
109,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
109,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
109,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
109,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
109,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
109,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
110,Fall,SL101,English Language Lab,1,A-,3.67,2.47,2.47,0
110,Fall,SS101,English Language,3,A,4,2.47,2.47,0
110,Fall,EE182,Basic Electronics,3,B-,2.67,2.47,2.47,0
110,Fall,MT119,Calculus and Analytical Geometry,3,C,2,2.47,2.47,0
110,Fall,CS118,Programming Fundamentals,3,C-,1.67,2.47,2.47,0
110,Fall,CL118,Programming Fundamentals - Lab,1,C+,2.33,2.47,2.47,0
110,Fall,MT104,Linear Algebra,3,C-,1.67,2.47,2.47,0
110,Spring,SS122,English Composition,3,B+,3.33,1.71,2.09,0
110,Spring,MT224,Differential Equations (Cal II),3,C-,1.67,1.71,2.09,0
110,Spring,CS217,Computer Programming,3,F,0,1.71,2.09,0
110,Spring,CL217,Computer Programming Lab,1,F,0,1.71,2.09,0
110,Spring,SS111,Islamic and Religious Studies,3,B+,3.33,1.71,2.09,0
110,Spring,EL227,Digital Logic Design - Lab,1,D,1,1.71,2.09,0
110,Spring,EE227,Digital Logic Design,3,D,1,1.71,2.09,0
110,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
110,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
110,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
110,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
110,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
110,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
110,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
110,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
111,Fall,MT104,Linear Algebra,3,C-,1.67,1.9,1.9,0
111,Fall,SS101,English Language,3,B+,3.33,1.9,1.9,0
111,Fall,CL118,Programming Fundamentals - Lab,1,D,1,1.9,1.9,0
111,Fall,CS118,Programming Fundamentals,3,F,0,1.9,1.9,0
111,Fall,MT119,Calculus and Analytical Geometry,3,D+,1.33,1.9,1.9,0
111,Fall,EE182,Basic Electronics,3,B,3,1.9,1.9,0
111,Fall,SL101,English Language Lab,1,B+,3.33,1.9,1.9,0
111,Fall,CS201,Data Structures,3,F,0,2.06,2.37,0
111,Spring,MT119,Calculus and Analytical Geometry,3,B+,3.33,2.5,2.6,0
111,Spring,SS122,English Composition,3,C-,1.67,2.5,2.6,0
111,Spring,EE227,Digital Logic Design,3,A,4,2.5,2.6,0
111,Spring,CL118,Programming Fundamentals - Lab,1,D,1,2.5,2.6,0
111,Spring,EL227,Digital Logic Design - Lab,1,B,3,2.5,2.6,0
111,Spring,CS118,Programming Fundamentals,3,D+,1.33,2.5,2.6,0
111,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
111,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
111,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
111,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
111,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
111,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
111,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
111,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
111,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
111,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
111,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
112,Fall,SL101,English Language Lab,1,B+,3.33,1.55,1.55,2
112,Fall,MT104,Linear Algebra,3,D,1,1.55,1.55,2
112,Fall,MT119,Calculus and Analytical Geometry,3,D,1,1.55,1.55,2
112,Fall,EE182,Basic Electronics,3,C,2,1.55,1.55,2
112,Fall,CS118,Programming Fundamentals,3,F,0,1.55,1.55,2
112,Fall,SS101,English Language,3,A-,3.67,1.55,1.55,2
112,Fall,CL118,Programming Fundamentals - Lab,1,F,0,1.55,1.55,2
112,Spring,EE227,Digital Logic Design,3,B+,3.33,2,2.14,2
112,Spring,EL227,Digital Logic Design - Lab,1,D,1,2,2.14,2
112,Spring,SS122,English Composition,3,B-,2.67,2,2.14,2
112,Spring,CL118,Programming Fundamentals - Lab,1,F,0,2,2.14,2
112,Spring,MT119,Calculus and Analytical Geometry,3,C-,1.67,2,2.14,2
112,Spring,CS118,Programming Fundamentals,3,D+,1.33,2,2.14,2
112,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
112,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
112,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
112,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
112,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
112,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
112,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
112,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
112,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
112,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
112,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
112,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
113,Fall,CS118,Programming Fundamentals,3,LL,0,0,0,1
113,Fall,MT104,Linear Algebra,3,LL,0,0,0,1
113,Fall,MT119,Calculus and Analytical Geometry,3,LL,0,0,0,1
113,Fall,CL118,Programming Fundamentals - Lab,1,LL,0,0,0,1
113,Fall,EE182,Basic Electronics,3,LL,0,0,0,1
113,Fall,SS101,English Language,3,LL,0,0,0,1
113,Fall,SL101,English Language Lab,1,LL,0,0,0,1
113,Unknown,SS122,English Composition,3,UK,-1,0,0,0
113,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
113,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
113,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
113,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
113,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
113,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
113,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
113,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
113,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
113,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
113,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
113,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
113,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
113,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
114,Fall,SS101,English Language,3,C+,2.33,2.06,2.06,0
114,Fall,MT119,Calculus and Analytical Geometry,3,B-,2.67,2.06,2.06,0
114,Fall,CS118,Programming Fundamentals,3,D+,1.33,2.06,2.06,0
114,Fall,CL118,Programming Fundamentals - Lab,1,C,2,2.06,2.06,0
114,Fall,EE182,Basic Electronics,3,C+,2.33,2.06,2.06,0
114,Fall,MT104,Linear Algebra,3,C+,2.33,2.06,2.06,0
114,Fall,SL101,English Language Lab,1,FA,0,2.06,2.06,0
114,Spring,MT224,Differential Equations (Cal II),3,C-,1.67,0.64,1.42,0
114,Spring,EL227,Digital Logic Design - Lab,1,F,0,0.64,1.42,0
114,Spring,EE227,Digital Logic Design,3,D+,1.33,0.64,1.42,0
114,Spring,SS113,Pakistan Studies,3,FA,0,0.64,1.42,0
114,Spring,CL217,Computer Programming Lab,1,F,0,0.64,1.42,0
114,Spring,CS217,Computer Programming,3,F,0,0.64,1.42,0
114,Unknown,SS122,English Composition,3,UK,-1,0,0,0
114,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
114,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
114,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
114,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
114,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
114,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
114,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
114,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
115,Fall,MT119,Calculus and Analytical Geometry,3,D,1,2.18,2.18,2
115,Fall,SL101,English Language Lab,1,B,3,2.18,2.18,2
115,Fall,MT104,Linear Algebra,3,D+,1.33,2.18,2.18,2
115,Fall,SS101,English Language,3,B+,3.33,2.18,2.18,2
115,Fall,CL118,Programming Fundamentals - Lab,1,A,4,2.18,2.18,2
115,Fall,EE182,Basic Electronics,3,C-,1.67,2.18,2.18,2
115,Fall,CS118,Programming Fundamentals,3,B-,2.67,2.18,2.18,2
115,Fall,CS201,Data Structures,3,F,0,0.62,1.54,2
115,Spring,CL217,Computer Programming Lab,1,F,0,0.95,1.62,2
115,Spring,CS217,Computer Programming,3,F,0,0.95,1.62,2
115,Spring,EE227,Digital Logic Design,3,B,3,0.95,1.62,2
115,Spring,EL227,Digital Logic Design - Lab,1,D+,1.33,0.95,1.62,2
115,Spring,SS122,English Composition,3,D,1,0.95,1.62,2
115,Spring,SS113,Pakistan Studies,3,F,0,0.95,1.62,2
115,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
115,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
115,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
115,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
115,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
115,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
115,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
115,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
116,Fall,SL101,English Language Lab,1,B+,3.33,2.67,2.67,0
116,Fall,SS101,English Language,3,A,4,2.67,2.67,0
116,Fall,CS118,Programming Fundamentals,3,C,2,2.67,2.67,0
116,Fall,MT119,Calculus and Analytical Geometry,3,C,2,2.67,2.67,0
116,Fall,MT104,Linear Algebra,3,B-,2.67,2.67,2.67,0
116,Fall,EE182,Basic Electronics,3,C+,2.33,2.67,2.67,0
116,Fall,CL118,Programming Fundamentals - Lab,1,B,3,2.67,2.67,0
116,Fall,CS201,Data Structures,3,B,3,2.61,2.62,0
116,Spring,EE227,Digital Logic Design,3,B+,3.33,2.59,2.63,0
116,Spring,SS113,Pakistan Studies,3,C+,2.33,2.59,2.63,0
116,Spring,EL227,Digital Logic Design - Lab,1,B-,2.67,2.59,2.63,0
116,Spring,CS217,Computer Programming,3,C,2,2.59,2.63,0
116,Spring,SS122,English Composition,3,A-,3.67,2.59,2.63,0
116,Spring,MT224,Differential Equations (Cal II),3,C,2,2.59,2.63,0
116,Spring,CL217,Computer Programming Lab,1,D+,1.33,2.59,2.63,0
116,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
116,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
116,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
116,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
116,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
116,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
116,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
117,Fall,MT119,Calculus and Analytical Geometry,3,C,2,2.33,2.33,0
117,Fall,EE182,Basic Electronics,3,B-,2.67,2.33,2.33,0
117,Fall,SS101,English Language,3,C,2,2.33,2.33,0
117,Fall,SL101,English Language Lab,1,A-,3.67,2.33,2.33,0
117,Fall,MT104,Linear Algebra,3,C-,1.67,2.33,2.33,0
117,Fall,CS118,Programming Fundamentals,3,C+,2.33,2.33,2.33,0
117,Fall,CL118,Programming Fundamentals - Lab,1,A,4,2.33,2.33,0
117,Fall,CS201,Data Structures,3,F,0,2.06,2.16,0
117,Spring,CS217,Computer Programming,3,C-,1.67,2.26,2.3,0
117,Spring,EE227,Digital Logic Design,3,B+,3.33,2.26,2.3,0
117,Spring,MT224,Differential Equations (Cal II),3,D,1,2.26,2.3,0
117,Spring,SS113,Pakistan Studies,3,A-,3.67,2.26,2.3,0
117,Spring,CL217,Computer Programming Lab,1,C+,2.33,2.26,2.3,0
117,Spring,SS122,English Composition,3,C-,1.67,2.26,2.3,0
117,Spring,EL227,Digital Logic Design - Lab,1,C,2,2.26,2.3,0
117,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
117,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
117,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
117,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
117,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
117,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
117,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
118,Fall,SL101,English Language Lab,1,A-,3.67,3.86,3.86,0
118,Fall,MT104,Linear Algebra,3,A-,3.67,3.86,3.86,0
118,Fall,CS118,Programming Fundamentals,3,A+,4,3.86,3.86,0
118,Fall,SS101,English Language,3,A,4,3.86,3.86,0
118,Fall,EE182,Basic Electronics,3,A,4,3.86,3.86,0
118,Fall,MT119,Calculus and Analytical Geometry,3,A-,3.67,3.86,3.86,0
118,Fall,CL118,Programming Fundamentals - Lab,1,A+,4,3.86,3.86,0
118,Fall,CS201,Data Structures,3,A,4,3.69,3.81,0
118,Spring,EE227,Digital Logic Design,3,A+,4,3.88,3.87,0
118,Spring,MT224,Differential Equations (Cal II),3,A-,3.67,3.88,3.87,0
118,Spring,SS111,Islamic and Religious Studies,3,A-,3.67,3.88,3.87,0
118,Spring,CS217,Computer Programming,3,A,4,3.88,3.87,0
118,Spring,CL217,Computer Programming Lab,1,A+,4,3.88,3.87,0
118,Spring,EL227,Digital Logic Design - Lab,1,A+,4,3.88,3.87,0
118,Spring,SS122,English Composition,3,A,4,3.88,3.87,0
118,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
118,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
118,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
118,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
118,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
118,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
118,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
119,Fall,MT119,Calculus and Analytical Geometry,3,D+,1.33,2.41,2.41,0
119,Fall,SL101,English Language Lab,1,B+,3.33,2.41,2.41,0
119,Fall,EE182,Basic Electronics,3,C+,2.33,2.41,2.41,0
119,Fall,CS118,Programming Fundamentals,3,B,3,2.41,2.41,0
119,Fall,MT104,Linear Algebra,3,D+,1.33,2.41,2.41,0
119,Fall,CL118,Programming Fundamentals - Lab,1,B-,2.67,2.41,2.41,0
119,Fall,SS101,English Language,3,A-,3.67,2.41,2.41,0
119,Fall,CS201,Data Structures,3,B,3,2.1,2.49,0
119,Spring,CL217,Computer Programming Lab,1,F,0,1.59,2,0
119,Spring,MT224,Differential Equations (Cal II),3,F,0,1.59,2,0
119,Spring,SS111,Islamic and Religious Studies,3,D+,1.33,1.59,2,0
119,Spring,EL227,Digital Logic Design - Lab,1,D,1,1.59,2,0
119,Spring,CS217,Computer Programming,3,F,0,1.59,2,0
119,Spring,EE227,Digital Logic Design,3,B+,3.33,1.59,2,0
119,Spring,SS122,English Composition,3,A,4,1.59,2,0
119,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
119,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
119,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
119,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
119,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
119,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
119,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
120,Fall,MT119,Calculus and Analytical Geometry,3,B,3,2.92,2.92,0
120,Fall,SS101,English Language,3,B,3,2.92,2.92,0
120,Fall,CL118,Programming Fundamentals - Lab,1,A+,4,2.92,2.92,0
120,Fall,SL101,English Language Lab,1,A-,3.67,2.92,2.92,0
120,Fall,CS118,Programming Fundamentals,3,B-,2.67,2.92,2.92,0
120,Fall,MT104,Linear Algebra,3,B,3,2.92,2.92,0
120,Fall,EE182,Basic Electronics,3,C+,2.33,2.92,2.92,0
120,Fall,CS201,Data Structures,3,B+,3.33,2.56,2.68,0
120,Spring,CL217,Computer Programming Lab,1,A,4,2.55,2.73,0
120,Spring,EE227,Digital Logic Design,3,C+,2.33,2.55,2.73,0
120,Spring,EL227,Digital Logic Design - Lab,1,C+,2.33,2.55,2.73,0
120,Spring,CS217,Computer Programming,3,C+,2.33,2.55,2.73,0
120,Spring,SS113,Pakistan Studies,3,C,2,2.55,2.73,0
120,Spring,SS122,English Composition,3,B+,3.33,2.55,2.73,0
120,Spring,MT224,Differential Equations (Cal II),3,C+,2.33,2.55,2.73,0
120,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
120,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
120,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
120,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
120,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
120,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
120,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
121,Fall,CL118,Programming Fundamentals - Lab,1,A,4,2.88,2.88,0
121,Fall,SS101,English Language,3,C,2,2.88,2.88,0
121,Fall,SL101,English Language Lab,1,B,3,2.88,2.88,0
121,Fall,MT119,Calculus and Analytical Geometry,3,B+,3.33,2.88,2.88,0
121,Fall,EE182,Basic Electronics,3,B+,3.33,2.88,2.88,0
121,Fall,MT104,Linear Algebra,3,B,3,2.88,2.88,0
121,Fall,CS118,Programming Fundamentals,3,C+,2.33,2.88,2.88,0
121,Fall,CS201,Data Structures,3,B+,3.33,3.36,2.97,0
121,Spring,EL227,Digital Logic Design - Lab,1,C,2,2.35,2.62,0
121,Spring,MT224,Differential Equations (Cal II),3,A,4,2.35,2.62,0
121,Spring,SS122,English Composition,3,D,1,2.35,2.62,0
121,Spring,CL217,Computer Programming Lab,1,B,3,2.35,2.62,0
121,Spring,CS217,Computer Programming,3,C+,2.33,2.35,2.62,0
121,Spring,SS113,Pakistan Studies,3,D,1,2.35,2.62,0
121,Spring,EE227,Digital Logic Design,3,B+,3.33,2.35,2.62,0
121,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
121,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
121,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
121,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
121,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
121,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
121,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
122,Fall,SS101,English Language,3,C,2,1.55,1.55,3
122,Fall,CS118,Programming Fundamentals,3,F,0,1.55,1.55,3
122,Fall,MT104,Linear Algebra,3,C-,1.67,1.55,1.55,3
122,Fall,CL118,Programming Fundamentals - Lab,1,F,0,1.55,1.55,3
122,Fall,MT119,Calculus and Analytical Geometry,3,B,3,1.55,1.55,3
122,Fall,EE182,Basic Electronics,3,C-,1.67,1.55,1.55,3
122,Fall,SL101,English Language Lab,1,D+,1.33,1.55,1.55,3
122,Spring,MT224,Differential Equations (Cal II),3,F,0,1.29,1.61,3
122,Spring,CL118,Programming Fundamentals - Lab,1,D,1,1.29,1.61,3
122,Spring,CS118,Programming Fundamentals,3,D,1,1.29,1.61,3
122,Spring,SS122,English Composition,3,B-,2.67,1.29,1.61,3
122,Spring,SS111,Islamic and Religious Studies,3,C+,2.33,1.29,1.61,3
122,Spring,EE227,Digital Logic Design,3,D,1,1.29,1.61,3
122,Spring,EL227,Digital Logic Design - Lab,1,F,0,1.29,1.61,3
122,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
122,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
122,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
122,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
122,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
122,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
122,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
122,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
122,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
122,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
123,Fall,EE182,Basic Electronics,3,B,3,2.39,2.39,0
123,Fall,MT119,Calculus and Analytical Geometry,3,C-,1.67,2.39,2.39,0
123,Fall,CS118,Programming Fundamentals,3,C-,1.67,2.39,2.39,0
123,Fall,MT104,Linear Algebra,3,B,3,2.39,2.39,0
123,Fall,CL118,Programming Fundamentals - Lab,1,D+,1.33,2.39,2.39,0
123,Fall,SL101,English Language Lab,1,B+,3.33,2.39,2.39,0
123,Fall,SS101,English Language,3,B-,2.67,2.39,2.39,0
123,Fall,CS201,Data Structures,3,F,0,0.98,2.02,0
123,Spring,CL217,Computer Programming Lab,1,F,0,1.84,2.12,0
123,Spring,SS111,Islamic and Religious Studies,3,B+,3.33,1.84,2.12,0
123,Spring,EL227,Digital Logic Design - Lab,1,B+,3.33,1.84,2.12,0
123,Spring,EE227,Digital Logic Design,3,B-,2.67,1.84,2.12,0
123,Spring,MT224,Differential Equations (Cal II),3,C+,2.33,1.84,2.12,0
123,Spring,SS122,English Composition,3,D,1,1.84,2.12,0
123,Spring,CS217,Computer Programming,3,FA,0,1.84,2.12,0
123,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
123,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
123,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
123,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
123,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
123,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
123,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
124,Fall,CS118,Programming Fundamentals,3,A,4,3.61,3.61,0
124,Fall,SS101,English Language,3,B-,2.67,3.61,3.61,0
124,Fall,CL118,Programming Fundamentals - Lab,1,B,3,3.61,3.61,0
124,Fall,SL101,English Language Lab,1,B+,3.33,3.61,3.61,0
124,Fall,MT104,Linear Algebra,3,A,4,3.61,3.61,0
124,Fall,EE182,Basic Electronics,3,A,4,3.61,3.61,0
124,Fall,MT119,Calculus and Analytical Geometry,3,A-,3.67,3.61,3.61,0
124,Fall,CS201,Data Structures,3,B,3,3.12,3.4,0
124,Spring,CS217,Computer Programming,3,A-,3.67,3.45,3.53,0
124,Spring,SS113,Pakistan Studies,3,B,3,3.45,3.53,0
124,Spring,SS122,English Composition,3,B-,2.67,3.45,3.53,0
124,Spring,MT224,Differential Equations (Cal II),3,A,4,3.45,3.53,0
124,Spring,CL217,Computer Programming Lab,1,A-,3.67,3.45,3.53,0
124,Spring,EL227,Digital Logic Design - Lab,1,B,3,3.45,3.53,0
124,Spring,EE227,Digital Logic Design,3,A,4,3.45,3.53,0
124,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
